Column1;Season;Episodes;EpisodeTitle;Ratings;Votes;Viewership;Duration;Date;GuestStars;Director
0;1;1;Pilot;7.5;4936;11.2;23;24/03/2005;;Ken Kwapis
1;1;2;Diversity Day;8.3;4801;6;23;29/03/2005;;Ken Kwapis
2;1;3;Health Care;7.8;4024;5.8;22;05/04/2005;;Ken Whittingham
3;1;4;The Alliance;8.1;3915;5.4;23;12/04/2005;;Bryan Gordon
4;1;5;Basketball;8.4;4294;5;23;19/04/2005;;Greg Daniels
5;1;6;Hot Girl;7.7;3854;4.8;23;26/04/2005;Amy Adams;Amy Heckerling
6;2;1;The Dundies;8.7;4315;9;21;20/09/2005;;Greg Daniels
7;2;2;Sexual Harassment;8.2;3665;7.13;22;27/09/2005;;Ken Kwapis
8;2;3;Office Olympics;8.4;3665;8.3;22;04/10/2005;Nancy Carell;Paul Feig
9;2;4;The Fire;8.4;3607;7.6;22;11/10/2005;Amy Adams;Ken Kwapis
10;2;5;Halloween;8.1;3392;8;30;18/10/2005;;Paul Feig
11;2;6;The Fight;8.1;3388;7.9;22;01/11/2005;;Ken Kwapis
12;2;7;The Client;8.6;3533;7.5;22;08/11/2005;Tim Meadows;Greg Daniels
13;2;8;Performance Review;8.2;3216;8;22;15/11/2005;;Paul Feig
14;2;9;E-Mail Surveillance;8.4;3338;8.1;23;22/11/2005;Ken Jeong;Paul Feig
15;2;10;Christmas Party;8.9;3663;9.7;22;06/12/2005;;Charles McDougall
16;2;11;Booze Cruise;8.6;3536;8.7;22;05/01/2006;Rob Riggle;Ken Kwapis
17;2;12;The Injury;9.1;4314;10.3;22;12/01/2006;;Bryan Gordon
18;2;13;The Secret;8.3;3142;8.7;22;19/01/2006;;Dennie Gordon
19;2;14;The Carpet;7.8;3118;8.6;22;26/01/2006;;Victor Nelli Jr.
20;2;15;Boys and Girls;8.2;3091;5.42;22;02/02/2006;;See full summary
21;2;16;Valentine's Day;8.3;3104;8.95;22;09/02/2006;Conan O'Brien;Greg Daniels
22;2;17;Dwight's Speech;8.5;3283;8.4;22;02/03/2006;;Charles McDougall
23;2;18;Take Your Daughter to Work Day;8.3;3212;8.8;21;16/03/2006;;See full summary
24;2;19;Michael's Birthday;8.1;3094;7.8;22;30/03/2006;;Ken Whittingham
25;2;20;Drug Testing;8.4;3172;7.8;22;27/04/2006;;Greg Daniels
26;2;21;Conflict Resolution;8.7;3253;7.4;22;04/05/2006;;Charles McDougall
27;2;22;Casino Night;9.4;4765;7.6;29;11/05/2006;;Ken Kwapis
28;3;1;Gay Witch Hunt;9;4133;9.11;23;21/09/2006;;Ken Kwapis
29;3;2;The Convention;8.2;3027;7.78;22;28/09/2006;Jerome Bettis;Ken Whittingham
30;3;3;The Coup;8.5;3175;8.89;22;05/10/2006;;Greg Daniels
31;3;4;Grief Counseling;8;3049;8.83;22;12/10/2006;;Roger Nygard
32;3;5;Initiation;8.1;2976;8.46;22;19/10/2006;;Randall Einhorn
33;3;6;Diwali;7.9;3082;8.81;22;02/11/2006;;Miguel Arteta
34;3;7;Branch Closing;8.6;3021;8.05;31;09/11/2006;;Tucker Gates
35;3;8;The Merger;8.7;3166;8.63;30;16/11/2006;;Ken Whittingham
36;3;9;The Convict;8.3;3151;9.07;30;30/11/2006;;Jeffrey Blitz
37;3;10;A Benihana Christmas;8.8;3343;8.44;42;14/12/2006;;Harold Ramis
38;3;11;Back from Vacation;8.5;3001;8.8;21;04/01/2007;;Julian Farino
39;3;12;Traveling Salesmen;8.6;3053;10.12;22;11/01/2007;;Greg Daniels
40;3;13;The Return;8.8;3211;10.2;28;18/01/2007;;Greg Daniels
41;3;14;Ben Franklin;8.1;2975;10.11;21;01/02/2007;;Randall Einhorn
42;3;15;Phyllis' Wedding;8.2;2995;8.84;21;08/02/2007;;Ken Whittingham
43;3;16;Business School;8.9;3460;8.84;22;15/02/2007;;Joss Whedon
44;3;17;Cocktails;8.5;2969;8.3;21;22/02/2007;;J.J. Abrams
45;3;18;The Negotiation;9;3368;6.74;30;05/04/2007;;Jeffrey Blitz
46;3;19;Safety Training;8.8;3164;7.71;21;12/04/2007;;Harold Ramis
47;3;20;Product Recall;8.7;3138;7.56;21;26/04/2007;;Randall Einhorn
48;3;21;Women's Appreciation;8.8;3158;7;29;03/05/2007;;Tucker Gates
49;3;22;Beach Games;9.2;3641;7.2;28;10/05/2007;;Harold Ramis
50;3;23;The Job;9.3;3898;7.88;42;17/05/2007;;Ken Kwapis
51;4;1;Fun Run;8.8;3635;9.7;42;27/09/2007;;Greg Daniels
